,country,net_frequency
0,Portugal,87.0
1,United States of America,-130.0
2,United Kingdom,7.0
3,France,31.0
4,South Africa,-6.0
5,Italy,-59.0
6,Japan,6.0
7,Denmark,1.0
8,Taiwan,13.0
9,Russia,-55.0
10,China,-41.0
11,Canada,6.0
12,Argentina,-11.0
13,Germany,-33.0
14,Ireland,15.0
15,Belgium,-22.0
16,Norway,19.0
17,Spain,74.0
18,Slovakia,1.0
19,Poland,-6.0
20,Finland,11.0
21,Australia,100.0
22,Switzerland,21.0
23,Saudi Arabia,12.0
24,Mexico,5.0
25,Algeria,-1.0
26,Brazil,0.0
27,Netherlands,-21.0
28,Czechia,4.0
29,Armenia,0.0
30,Greece,-7.0
31,Egypt,-2.0
32,India,-30.0
33,South Korea,21.0
34,Sweden,-19.0
35,Malaysia,8.0
36,Iran,-4.0
37,Iceland,8.0
38,Austria,3.0
39,Chile,12.0
40,Ukraine,-13.0
41,Hungary,-2.0
42,Serbia,-6.0
43,Israel,-8.0
44,Estonia,2.0
45,Romania,-3.0
46,Croatia,1.0
47,Pakistan,-3.0
48,Bangladesh,2.0
49,Belarus,0.0
50,Morocco,3.0
51,Venezuela,0.0
52,Bulgaria,-6.0
53,Lebanon,2.0
54,Vietnam,-1.0
55,Turkey,-3.0
56,Uzbekistan,1.0
57,Puerto Rico,5.0
58,Costa Rica,0.0
59,Palestine,-3.0
60,New Zealand,12.0
61,Libya,2.0
62,Colombia,2.0
63,Ghana,0.0
64,Azerbaijan,0.0
65,Lithuania,-1.0
66,Cuba,-4.0
67,Indonesia,-1.0
68,Ecuador,-1.0
69,Slovenia,1.0
70,Paraguay,1.0
71,Cameroon,3.0
72,Tunisia,1.0
73,Ethiopia,0.0
74,Kazakhstan,-1.0
75,North Macedonia,0.0
76,Moldova,-3.0
77,Peru,-1.0
78,Latvia,0.0
79,Botswana,1.0
80,Georgia,-1.0
81,Zimbabwe,-2.0
82,Thailand,2.0
83,Nigeria,0.0
84,Iraq,0.0
85,N. Cyprus,1.0
86,United Arab Emirates,1.0
87,Senegal,0.0
88,Philippines,-1.0
89,Luxembourg,1.0
90,Jordan,0.0
91,Trinidad and Tobago,1.0
92,Kyrgyzstan,-1.0
93,Kenya,0.0
94,Cyprus,2.0
95,Sri Lanka,2.0
96,Haiti,-1.0
97,Dominican Rep.,0.0
98,Panama,0.0
99,Kuwait,0.0
100,Somalia,-1.0
101,Madagascar,1.0
102,Uganda,0.0
103,Gambia,0.0
104,Mongolia,0.0
105,Angola,0.0
106,Uruguay,0.0
107,Bosnia and Herz.,-1.0
108,Albania,0.0
109,Nicaragua,0.0
110,Yemen,0.0
